Rec,R_pixels,VDC,focal_shift,T_C,Rx,Ry,Material
690,51.2445119,4,0,747.4122865,272,252,graphite_poco
690,70.0285656,4,0,735.1828135,253,249,graphite_poco
690,93.00537619,4,0,724.5537189,230,246,graphite_poco
690,113.039816,4,0,718.1344108,210,244,graphite_poco
690,131.1868896,4,0,710.0603135,192,240,graphite_poco
690,147.122398,4,0,703.9099541,176,253,graphite_poco
690,189.7603752,4,0,699.7393514,176,367,graphite_poco
689,51.2445119,4,-3,736.6780594,272,252,graphite_poco
689,70.0285656,4,-3,724.7173781,253,249,graphite_poco
689,93.00537619,4,-3,714.1665656,230,246,graphite_poco
689,113.039816,4,-3,707.98035,210,244,graphite_poco
689,131.1868896,4,-3,699.9885,192,240,graphite_poco
689,147.122398,4,-3,693.492125,176,253,graphite_poco
689,189.7603752,4,-3,689.0633969,176,367,graphite_poco
696,51.15662225,2,15,600.8199393,272,251,graphite_poco
696,70.0285656,2,15,595.8548286,253,249,graphite_poco
696,93.00537619,2,15,590.8754214,230,246,graphite_poco
696,113.0707743,2,15,588.9826143,210,243,graphite_poco
696,130.1883251,2,15,584.8759821,193,240,graphite_poco
696,146.0855913,2,15,583.0100214,177,252,graphite_poco
696,189.7603752,2,15,581.766975,176,367,graphite_poco
697,51.15662225,2,12,624.4013049,272,251,graphite_poco
697,70.0285656,2,12,618.0215049,253,249,graphite_poco
697,93.00537619,2,12,612.2092195,230,246,graphite_poco
697,113.0707743,2,12,609.4068268,210,243,graphite_poco
697,130.1883251,2,12,604.6230732,193,240,graphite_poco
697,146.0855913,2,12,601.9589122,177,252,graphite_poco
697,189.7603752,2,12,600.1286073,176,367,graphite_poco
698,51.15662225,2,9,651.6703227,272,251,graphite_poco
698,70.0285656,2,9,644.0071682,253,249,graphite_poco
698,93.00537619,2,9,637.041517,230,246,graphite_poco
698,113.0707743,2,9,633.437475,210,243,graphite_poco
698,130.1883251,2,9,628.0533898,193,240,graphite_poco
698,146.0855913,2,9,624.6735818,177,252,graphite_poco
698,189.7603752,2,9,622.4485341,176,367,graphite_poco
699,51.15662225,2,6,674.2550308,272,251,graphite_poco
699,70.0285656,2,6,665.5604846,253,249,graphite_poco
699,93.00537619,2,6,657.8327103,230,246,graphite_poco
699,113.0707743,2,6,653.5921385,210,243,graphite_poco
699,130.1883251,2,6,647.8355154,193,240,graphite_poco
699,146.0855913,2,6,643.9018154,177,252,graphite_poco
699,189.7603752,2,6,641.4023692,176,367,graphite_poco
700,51.15662225,2,3,683.400914,272,251,graphite_poco
700,70.0285656,2,3,674.4020163,253,249,graphite_poco
700,93.00537619,2,3,666.0898209,230,246,graphite_poco
700,113.0707743,2,3,661.7268837,210,243,graphite_poco
700,130.1883251,2,3,655.5207814,193,240,graphite_poco
700,146.0855913,2,3,651.4262605,177,252,graphite_poco
700,189.7603752,2,3,648.6329372,176,367,graphite_poco
701,51.15662225,2,0,695.01235,272,251,graphite_poco
701,70.0285656,2,0,685.9310778,253,249,graphite_poco
701,93.00537619,2,0,677.693625,230,246,graphite_poco
701,113.0707743,2,0,672.9880972,210,243,graphite_poco
701,130.1883251,2,0,666.7082,193,240,graphite_poco
701,146.0855913,2,0,662.8240306,177,252,graphite_poco
701,189.7603752,2,0,659.939375,176,367,graphite_poco
702,51.15662225,2,-3,689.2276608,272,251,graphite_poco
702,70.0285656,2,-3,680.0648569,253,249,graphite_poco
702,93.00537619,2,-3,671.9816961,230,246,graphite_poco
702,113.0707743,2,-3,667.6275176,210,243,graphite_poco
702,130.1883251,2,-3,661.2715431,193,240,graphite_poco
702,146.0855913,2,-3,657.0728255,177,252,graphite_poco
702,189.7603752,2,-3,654.1187824,176,367,graphite_poco
Fake,51.2445119,3,15,623.0582863,272,251,graphite_poco
Fake,70.0285656,3,15,617.7056993,253,249,graphite_poco
Fake,93.00537619,3,15,613.8441274,230,246,graphite_poco
Fake,113.039816,3,15,610.5265372,210,243,graphite_poco
Fake,131.1868896,3,15,607.0178394,193,240,graphite_poco
Fake,147.122398,3,15,605.2637041,177,252,graphite_poco
Fake,189.7603752,3,15,633.1749519,176,367,graphite_poco
Fake,51.15662225,3,12,650.4078601,272,251,graphite_poco
Fake,70.0285656,3,12,643.5028186,253,249,graphite_poco
Fake,93.00537619,3,12,638.7662115,230,246,graphite_poco
Fake,113.0707743,3,12,634.5015058,210,243,graphite_poco
Fake,130.1883251,3,12,630.0557892,193,240,graphite_poco
Fake,146.0855913,3,12,627.490996,177,252,graphite_poco
Fake,189.7603752,3,12,657.3194537,176,367,graphite_poco
Fake,51.15662225,3,9,678.098423,272,251,graphite_poco
Fake,70.0285656,3,9,669.9303574,253,249,graphite_poco
Fake,93.00537619,3,9,663.9011981,230,246,graphite_poco
Fake,113.0707743,3,9,658.7703515,210,243,graphite_poco
Fake,130.1883251,3,9,653.6589728,193,240,graphite_poco
Fake,146.0855913,3,9,650.420877,177,252,graphite_poco
Fake,189.7603752,3,9,678.531983,176,367,graphite_poco
Fake,51.15662225,3,6,698.8266291,272,251,graphite_poco
Fake,70.0285656,3,6,689.5970048,253,249,graphite_poco
Fake,93.00537619,3,6,682.7859881,230,246,graphite_poco
Fake,113.0707743,3,6,676.9211329,210,243,graphite_poco
Fake,130.1883251,3,6,671.341643,193,240,graphite_poco
Fake,146.0855913,3,6,667.5050532,177,252,graphite_poco
Fake,189.7603752,3,6,692.7313757,176,367,graphite_poco
Fake,51.15662225,3,3,707.8220303,272,251,graphite_poco
Fake,70.0285656,3,3,697.9908705,253,249,graphite_poco
Fake,93.00537619,3,3,690.7603543,230,246,graphite_poco
Fake,113.0707743,3,3,684.6551487,210,243,graphite_poco
Fake,130.1883251,3,3,678.6292544,193,240,graphite_poco
Fake,146.0855913,3,3,674.6192296,177,252,graphite_poco
Fake,189.7603752,3,3,698.0226119,176,367,graphite_poco
Fake,51.15662225,3,0,715.0975818,272,251,graphite_poco
Fake,70.0285656,3,0,705.2423984,253,249,graphite_poco
Fake,93.00537619,3,0,697.9140179,230,246,graphite_poco
Fake,113.0707743,3,0,691.5242054,210,243,graphite_poco
Fake,130.1883251,3,0,685.3090771,193,240,graphite_poco
Fake,146.0855913,3,0,681.281691,177,252,graphite_poco
Fake,189.7603752,3,0,698.3087172,176,367,graphite_poco
Fake,51.15662225,3,-3,706.9725195,272,251,graphite_poco
Fake,70.0285656,3,-3,697.1157113,253,249,graphite_poco
Fake,93.00537619,3,-3,689.9810231,230,246,graphite_poco
Fake,113.0707743,3,-3,683.8080088,210,243,graphite_poco
Fake,130.1883251,3,-3,677.3818341,193,240,graphite_poco
Fake,146.0855913,3,-3,673.0681112,177,252,graphite_poco
Fake,189.7603752,3,-3,627.4693609,176,367,graphite_poco
